"ID"	"Probesets"	"Symbol"	"logFC"	"FC"	"PValue"	"AdjPVal"
"NM_001282458"	"1554533_at"	"C2"	2.73920627295676	15.4746975345808	0.000469986026703843	0.000744860360859615
"NR_024433"	"230245_s_at"	"LINC00926"	2.7450461087496	15.5653316136166	0.000395062341389732	0.000650711370770216
"NM_001143995"	"216250_s_at"	"LPXN"	2.75751985036415	15.760705526918	0.000390239248090479	0.0006483307062176
"NM_030767"	"1558565_at"	"AKNA"	2.76050402750227	15.8078085109006	2.98393936748405e-08	3.41745508691098e-07
"NM_022136"	"1555638_a_at"	"SAMSN1"	2.76056599870788	15.8087881702071	0.000103531980879993	0.000236255309752465
"NM_213648"	"205254_x_at"	"TCF7"	2.77311624031519	16.0084425158006	1.1134698043012e-06	6.89669562460028e-06
"NM_006495"	"211742_s_at"	"EVI2B"	2.77424803934698	16.0265711125695	2.54315455371426e-06	1.31939727701244e-05
"NM_000952"	"206278_at"	"PTAFR"	2.77586610457763	16.0525241412375	0.00177097526177282	0.00195807283041184
"NM_017831"	"207735_at"	"RNF125"	2.78356616410925	16.1766066409954	2.1541115139216e-06	1.17796908914451e-05
"NM_002249"	"205902_at"	"KCNN3"	2.78806363247378	16.2495242670569	0.00015619797628486	0.000322490379608538
"NM_004226"	"205214_at"	"STK17B"	2.78891508056556	16.2633657853173	6.55502625385511e-05	0.00016934321151166
"NM_016293"	"219191_s_at"	"BIN2"	2.79224629284035	16.3176328464175	0.00022993249256113	0.000434794464126499
"NM_173799"	"240070_at"	"TIGIT"	2.79362261955879	16.3401067026224	8.32190236074184e-05	0.000199659870868391
"NM_001135940"	"219728_at"	"MYOT"	2.79382094856823	16.3433477411843	6.55612103875454e-05	0.00016934321151166
"NM_020945"	"1553863_at"	"WDFY4"	2.80152549620715	16.4697521615946	2.29330676858935e-06	1.21046713785542e-05
"NM_005164"	"207583_at"	"ABCD2"	2.803046460095	16.4948211195314	0.000673575086197061	0.000978134156271809
"NM_203380"	"218322_s_at"	"ACSL5"	2.80462407958091	16.5208642083868	1.62597739928553e-06	9.39969791777444e-06
"NM_174941"	"223655_at"	"CD163L1"	2.80634612186009	16.5493383448393	1.4604639659138e-06	8.52405410874689e-06
"NM_001040092"	"209392_at"	"ENPP2"	2.81086260300871	16.6242521655807	1.64932840439893e-05	6.03097796066354e-05
"NM_020056"	NA	"HLA-DQA2"	2.81672217910961	16.7219491883027	0.00174353502401449	0.00194545176392793
"NM_001033053"	"1562256_at"	"NLRP1"	2.81999488796184	16.7767649084583	7.77371373473211e-08	7.61071651126192e-07
"NM_006820"	"204439_at"	"IFI44L"	2.82367854657981	16.8386787478082	5.62598809824338e-07	3.92525836279739e-06
"NM_177531"	"230673_at"	"PKHD1L1"	2.82407898452218	16.845422943904	0.00128315330796058	0.00154346739363124
"NM_001199860"	"203402_at"	"KCNAB2"	2.838211272241	17.0851774572425	3.09881211490149e-05	0.000100587109825947
"NM_001018058"	"206715_at"	"TFEC"	2.83990932942217	17.1142137111481	0.000102948918134395	0.000235811295500293
"NM_080628"	"233829_at"	"TLDC2"	2.8435442181129	17.1765351701828	1.41606868968407e-05	5.44021325720397e-05
"NR_104185"	NA	"LOC440416"	2.84564168905766	17.2126002631542	0.00149757843215281	0.00173479028304725
"NM_032854"	"1552301_a_at"	"CORO6"	2.84642844220241	17.2261476590699	0.000746689280158593	0.00103243825297555
"NM_001767"	"205831_at"	"CD2"	2.8524259598078	17.3297722173682	0.000856669534493088	0.00112310671152765
"NM_015621"	"1553102_a_at"	"CCDC69"	2.8736819988001	17.7020773800971	1.82367048041164e-06	1.02497035334247e-05
"NM_000922"	"208591_s_at"	"PDE3B"	2.87621083596871	17.7468997016271	4.63082149719916e-05	0.000130739937153483
"NM_017699"	"219734_at"	"SIDT1"	2.88365032491358	17.8794198958184	0.000556357156722363	0.000837987082209614
"NM_001256841"	"209933_s_at"	"CD300A"	2.89696608219047	18.1190900649984	0.000729466612224035	0.00101626089749231
"NM_001100168"	"206991_s_at"	"CCR5"	2.89817242974723	18.1409611744565	0.00137985906998423	0.00163269874362657
"NM_001166449"	"242720_at"	"ITIH4"	2.89890707518697	18.1542932454287	0.00128774200207143	0.00154478141355209
"NM_019043"	"1554571_at"	"APBB1IP"	2.9043611368042	18.2535783869286	1.63140072660302e-05	6.03097796066354e-05
"NR_027353"	"205758_at"	"CD8A"	2.90597968897606	18.283146678327	0.00207521150593548	0.00220524640247828
"NM_004877"	"204220_at"	"GMFG"	2.91552368235278	18.4584762504044	0.00192715867091227	0.00208146852890347
